,strDrink,strSource,strLink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
708,tequila sunrise,SAQ,0,tequila,,,,,,,,,,,,,,
709,tequila sunset,SAQ,0,tequila,,,,,,,,,,,,,,
710,thallini,SAQ,0,coconut liqueur,,,,,,,,,,,,,,
711,the elephant,SAQ,0,marula,brandy,,,,,,,,,,,,,
712,the emperor,SAQ,0,fortified honey wine,sake,,,,,,,,,,,,,
713,the fleur-de-lys,SAQ,0,dry gin,sparkling cider,,,,,,,,,,,,,
714,the irishman,SAQ,0,vodka,irish cream,,,,,,,,,,,,,
715,the king,SAQ,0,dry gin,beer,,,,,,,,,,,,,
716,the madinina,SAQ,0,rum,banana liqueur,,,,,,,,,,,,,
717,the mexican,SAQ,0,tequila,,,,,,,,,,,,,,
718,the neapolitan,SAQ,0,chocolate-flavoured vodka,strawberry liqueur,,,,,,,,,,,,,
719,the quebec royal,SAQ,0,vodka,black currant liqueur,sparkling cider,,,,,,,,,,,,
720,the quebec sour,SAQ,0,whiskey,,,,,,,,,,,,,,
721,the sensass,SAQ,0,passion fruit liqueur,,,,,,,,,,,,,,
722,the ultimate caesar,SAQ,0,rum,,,,,,,,,,,,,,
723,the vineyard,SAQ,0,lemon-flavoured vodka,dessert wine,,,,,,,,,,,,,
724,thunder,SAQ,0,vodka,pomegranate liqueur,,,,,,,,,,,,,
725,ti-punch,SAQ,0,rum,,,,,,,,,,,,,,
726,tiramisu,SAQ,0,spiced rum,chocolate liqueur,,,,,,,,,,,,,
727,tokyo drift,SAQ,0,vodka,,,,,,,,,,,,,,
728,tom & jerry,SAQ,0,rum,cognac,,,,,,,,,,,,,
729,tom collins,SAQ,0,dry gin,,,,,,,,,,,,,,
730,tomato,SAQ,0,anise liqueur,,,,,,,,,,,,,,
731,tonic herbs,SAQ,0,herb liqueur,,,,,,,,,,,,,,
732,tonus,SAQ,0,vodka,lemon liqueur,,,,,,,,,,,,,
733,tres tangerine,SAQ,0,white pineau des charentes,,,,,,,,,,,,,,
734,triple citrus,SAQ,0,dry gin,,,,,,,,,,,,,,
735,triple threat,SAQ,0,rum,,,,,,,,,,,,,,
736,tropical breeze,SAQ,0,coconut liqueur,,,,,,,,,,,,,,
737,tropical coffee,SAQ,0,banana liqueur,,,,,,,,,,,,,,
738,tropical jerry,SAQ,0,spiced rum,,,,,,,,,,,,,,
739,tropical paradise,SAQ,0,rum,peach liqueur,,,,,,,,,,,,,
740,tropical storm,SAQ,0,vodka,,,,,,,,,,,,,,
741,tropical sweetness,SAQ,0,rum,peach liqueur,,,,,,,,,,,,,
742,tripical thunder,SAQ,0,rum,,,,,,,,,,,,,,
743,turquoise jewel,SAQ,0,rum,blue citrus liqueur,,,,,,,,,,,,,
744,tweed,SAQ,0,dry gin,white vermouth,,,,,,,,,,,,,
745,twist,SAQ,0,lemon liqueur,marula,,,,,,,,,,,,,
746,uppercut,SAQ,0,vodka,almond liqueur,,,,,,,,,,,,,
747,urban lemon,SAQ,0,lemon liqueur,,,,,,,,,,,,,,
748,vampire,SAQ,0,whiskey,beer,,,,,,,,,,,,,
749,vanilla breeze,SAQ,0,vanilla-flavoured vodka,,,,,,,,,,,,,,
750,vanilla chip,SAQ,0,vanilla cream beverage,,,,,,,,,,,,,,
751,vanilla coffee,SAQ,0,vanilla liqueur,irish cream,,,,,,,,,,,,,
752,vanilla soda,SAQ,0,vanilla-flavoured vodka,,,,,,,,,,,,,,
753,vanilla sour,SAQ,0,vanilla-flavoured vodka,,,,,,,,,,,,,,
754,vantini,SAQ,0,vanilla-flavoured vodka,hazelnut liqueur,,,,,,,,,,,,,
755,velvet hammer,SAQ,0,vodka,chocolate liqueur,,,,,,,,,,,,,
756,velvety pineapple,SAQ,0,irish cream,,,,,,,,,,,,,,
757,verdunite,SAQ,0,vodka,,,,,,,,,,,,,,
758,very berry,SAQ,0,dry gin,,,,,,,,,,,,,,
759,victory,SAQ,0,lemon liqueur,,,,,,,,,,,,,,
760,violet,SAQ,0,vodka,anise liqueur,,,,,,,,,,,,,
761,viva,SAQ,0,dry gin,melon liqueur,,,,,,,,,,,,,
762,vodka grape,SAQ,0,vodka,,,,,,,,,,,,,,
763,vodka cranberry,SAQ,0,vodka,,,,,,,,,,,,,,
764,vodka passion,SAQ,0,mandarin-flavoured vodka,passion fruit liqueur,,,,,,,,,,,,,
765,vodka passion,SAQ,0,vodka,,,,,,,,,,,,,,
766,vodka soda,SAQ,0,vodka,,,,,,,,,,,,,,
767,vodka sunrise,SAQ,0,vodka,,,,,,,,,,,,,,
768,vodka sunset,SAQ,0,vodka,,,,,,,,,,,,,,
769,vodkatini,SAQ,0,vodka,white vermouth,,,,,,,,,,,,,
770,vodkir,SAQ,0,vodka,black currant liqueur,,,,,,,,,,,,,
771,vogue,SAQ,0,vodka,cherry liqueur,,,,,,,,,,,,,
772,voodoo,SAQ,0,rum,red vermouth,,,,,,,,,,,,,
773,warm-up,SAQ,0,irish whiskey,,,,,,,,,,,,,,
774,whipped sunset,SAQ,0,whipped cream-flavoured vodka,,,,,,,,,,,,,,
775,whisky cranberry,SAQ,0,irish whiskey,,,,,,,,,,,,,,
776,whisky grog,SAQ,0,whisky,,,,,,,,,,,,,,
777,whisky lemonade,SAQ,0,whiskey,,,,,,,,,,,,,,
778,whisky margarita,SAQ,0,citrus liqueur,whiskey,,,,,,,,,,,,,
779,whisky sour,SAQ,0,whiskey,,,,,,,,,,,,,,
780,whisky twisty,SAQ,0,whiskey,,,,,,,,,,,,,,
781,whispering grass,SAQ,0,herb-flavoured vodka,,,,,,,,,,,,,,
782,white coffee,SAQ,0,chocolate-flavoured cream,,,,,,,,,,,,,,
783,white cookie,SAQ,0,herb liqueur,irish cream,,,,,,,,,,,,,
784,white cosmo,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
785,white lady,SAQ,0,dry gin,citrus liqueur,,,,,,,,,,,,,
786,white oak,SAQ,0,irish whiskey,,,,,,,,,,,,,,
787,white russian,SAQ,0,vodka,coffee liqueur,,,,,,,,,,,,,
788,white sangria,SAQ,0,vodka,citrus liqueur,dry white wine,,,,,,,,,,,,
789,wild beauty,SAQ,0,vodka,raspberry liqueur,,,,,,,,,,,,,
790,wild crush,SAQ,0,strawberry liqueur,white port,,,,,,,,,,,,,
791,winter blues,SAQ,0,vodka,blue citrus liqueur,lemon liqueur,,,,,,,,,,,,
792,winter coffee,SAQ,0,spiced rum,citrus liqueur,,,,,,,,,,,,,
793,winter strawberry hot chocolate,SAQ,0,strawberry liqueur,,,,,,,,,,,,,,
794,witch,SAQ,0,dry gin,black currant liqueur,,,,,,,,,,,,,
795,xepec kaipiroska,SAQ,0,vodka,sherry,,,,,,,,,,,,,
796,yellow fizz,SAQ,0,rum,,,,,,,,,,,,,,
797,yeti,SAQ,0,dry gin,blue citrus liqueur,,,,,,,,,,,,,
798,zephyr,SAQ,0,vodka,,,,,,,,,,,,,,
799,zest,SAQ,0,hazelnut liqueur,,,,,,,,,,,,,,
800,zombie,SAQ,0,rum,,,,,,,,,,,,,,
