,strDrink,strSource,strLink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
184,creamy chocolatini,SAQ,0,vodka,irish cream,,,,,,,,,,,,,
185,creamy pink,SAQ,0,strawberry-flavoured cream,,,,,,,,,,,,,,
186,criss-cross,SAQ,0,herb liqueur,peach liqueur,,,,,,,,,,,,,
187,cuba libre,SAQ,0,rum,,,,,,,,,,,,,,
188,cucumber collins,SAQ,0,dry gin,,,,,,,,,,,,,,
189,cucumber gimlet,SAQ,0,dry gin,,,,,,,,,,,,,,
190,cupidon,SAQ,0,vodka,irish cream,,,,,,,,,,,,,
191,daiquiri,SAQ,0,rum,,,,,,,,,,,,,,
192,dark 'n fluffy,SAQ,0,marshmallow-flavoured vodka,irish cream,,,,,,,,,,,,,
193,dark and dreamy,SAQ,0,rum,coffee liqueur,,,,,,,,,,,,,
194,decadence,SAQ,0,chocolate liqueur,strawberry liqueur,champagne,,,,,,,,,,,,
195,decadent pear,SAQ,0,pear-flavoured vodka,caramel liqueur,,,,,,,,,,,,,
196,diamond martini,SAQ,0,black currant liqueur,citrus liqueur,hazelnut liqueur,,,,,,,,,,,,
197,dirty martini,SAQ,0,dry gin,white vermouth,,,,,,,,,,,,,
198,double diamond,SAQ,0,dry gin,lemon liqueur,,,,,,,,,,,,,
199,doudou,SAQ,0,spiced rum,,,,,,,,,,,,,,
200,downhill,SAQ,0,rum,beer,,,,,,,,,,,,,
201,dracula,SAQ,0,vodka,anise liqueur,,,,,,,,,,,,,
202,dry martini,SAQ,0,dry gin,white vermouth,,,,,,,,,,,,,
203,dublin,SAQ,0,irish cream,,,,,,,,,,,,,,
204,durango,SAQ,0,tequila,almond liqueur,,,,,,,,,,,,,
205,earthy delight,SAQ,0,vodka,almond liqueur,caramel-flavoured cream,,,,,,,,,,,,
206,eggnog,SAQ,0,rum,brandy,,,,,,,,,,,,,
207,el diablo,SAQ,0,tequila,black currant liqueur,,,,,,,,,,,,,
